name,1948-2023,average,is_increasing_name,is_timeless_name,if_jew_boys_muslim_boys_common,if_jew_boys_jew_girls,is_common_name,international_score,bible_score,nature_score,art_score,syllabels_score,light_score,summer_score,winter_score,spring_score,autumn_score
עמיחי,3308,0.0008358972787764826,0,1,0.0,0.0,0.0,0.0,0.7,0.3,0.8,3,0,0.0,0.0,0.2,0.0
אביהו,1167,0.0002969299118426607,0,1,0.0,0.0,0.0,0.0,0.8,0,0.0,3,0,0.0,0.0,0.0,0.0
גמליאל,303,7.173667572201447e-05,0,1,0.0,0.0,0.0,0.0,0.8,0.2,0.0,3,0,0.0,0.0,0.0,0.0
שבתי,308,7.757698201754316e-05,0,1,0.0,0.0,0.0,0.0,0.7,0,0.0,2,0,0.0,0.0,0.0,0.0
מקס,1196,0.0003321353864531108,0,1,0.0,0.0,0.0,1.0,0,0,0.2,1,0,0.0,0.0,0.0,0.0
בועז,6488,0.001829344202795501,0,1,0.0,0.0,0.0,0.0,1,0.2,0.0,2,0,0.0,0.0,0.0,0.0
ראובן,11307,0.0032601014168539507,0,1,0.0,0.0,0.0,0.4,1,0.2,0.0,3,0,0.0,0.0,0.0,0.0
אריה,15776,0.004523978802930431,1,1,0.0,0.0,1.0,0.6,0.8,1,0.0,2,0,0.0,0.0,0.0,0.0
לוי,4964,0.001181675710357594,1,1,0.0,0.0,1.0,0.6,1,0,0.0,2,0,0.0,0.0,0.0,0.0
יקותיאל,1386,0.000345892414109325,1,1,0.0,0.0,0.0,0.0,0.7,0,0.0,4,0,0.0,0.0,0.0,0.0
דב,6160,0.0017069331243526155,1,1,0.0,0.0,1.0,0.5,0.8,1,0.0,1,0,0.0,0.0,0.0,0.0
שמעיה,537,0.0001328691585355577,0,1,0.0,0.0,0.0,0.0,1,0,0.0,3,0,0.0,0.0,0.0,0.0
עדי,7894,0.0021061669305694115,0,1,1.0,0.0,0.0,0.3,0.5,0.5,0.5,2,0.5,0.2,0.0,0.5,0.0
ניסן,2397,0.0006831553671048657,1,1,0.0,0.0,0.0,0.0,0.7,0.8,0.0,2,0.2,0.5,0.0,1.0,0.0
מייק,583,0.00014679752464815665,0,1,0.0,0.0,0.0,1.0,0,0,0.0,1,0,0.0,0.0,0.0,0.0
עלי,298,7.429893107706214e-05,0,1,0.0,0.0,0.0,0.6,1,1,0.0,2,0,0.2,0.0,0.5,0.0
עמיאל,651,0.00017115011912455772,1,1,0.0,0.0,0.0,0.0,0.8,0.2,0.0,3,0,0.0,0.0,0.0,0.0
תומס,325,8.097261881716126e-05,1,1,0.0,0.0,0.0,1.0,0,0,0.2,2,0,0.0,0.0,0.0,0.0
אביגדור,1343,0.00037161275655490304,1,1,0.0,0.0,0.0,0.0,0.8,0,0.0,4,0,0.0,0.0,0.0,0.0
גרשון,2171,0.0006186583519105194,1,1,0.0,0.0,0.0,0.0,1,0.2,0.0,2,0,0.0,0.0,0.0,0.0
טוני,309,7.406826113102241e-05,0,1,0.0,0.0,0.0,1.0,0,0,0.2,2,0,0.0,0.0,0.0,0.0
יוחאי,3545,0.0009116958599517359,0,1,0.0,0.0,0.0,0.0,0.8,0,0.0,3,0.5,0.0,0.0,0.0,0.0
זאב,6914,0.0019883163660296237,1,1,0.0,0.0,0.0,0.3,0.7,1,0.0,1,0,0.0,0.2,0.0,0.0
אליקים,412,9.771675209796446e-05,1,1,0.0,0.0,0.0,0.0,0.7,0,0.0,3,0,0.0,0.0,0.0,0.0
איתן,28386,0.0066302099232294015,0,1,0.0,0.0,1.0,0.6,0.8,0.5,0.0,2,0,0.0,0.0,0.0,0.0
אמיל,1433,0.00040876673462752604,0,1,1.0,0.0,0.0,1.0,0,0,0.5,2,0,0.0,0.0,0.0,0.0
שמאי,266,6.428728130214651e-05,0,1,0.0,0.0,0.0,0.0,0.8,0.2,0.0,2,0,0.0,0.0,0.0,0.0
עמרם,2818,0.0008204855753585249,1,1,0.0,0.0,0.0,0.0,1,0,0.0,3,0,0.0,0.0,0.0,0.0
מישאל,649,0.00016756185177896314,1,1,0.0,0.0,0.0,0.0,0.8,0,0.0,2,0,0.0,0.0,0.0,0.0
סיימון,340,8.609082676030683e-05,0,1,0.0,0.0,0.0,1.0,0.4,0,0.2,2,0,0.0,0.0,0.0,0.0
מלכיאל,323,7.69555071038117e-05,0,1,0.0,0.0,0.0,0.0,0.8,0,0.0,3,0,0.0,0.0,0.0,0.0
מנואל,256,6.465632369348352e-05,1,1,0.0,1.0,0.0,0.8,0.4,0,0.0,3,0,0.0,0.0,0.0,0.0
רזיאל,1253,0.0003160563313228667,0,1,0.0,0.0,0.0,0.0,0.7,0,0.0,3,0.2,0.0,0.0,0.0,0.0
חנניה,2051,0.0005962120018020417,1,1,0.0,0.0,0.0,0.0,1,0,0.0,3,0.2,0.0,0.0,0.2,0.0
שמחה,4849,0.001193488554413048,1,1,0.0,0.0,1.0,0.0,0.8,0,0.5,2,0,0.6,0.0,0.6,0.0
אנדי,286,6.363466428070609e-05,1,1,0.0,0.0,0.0,1.0,0,0,0.5,2,0,0.0,0.0,0.0,0.0
נחשון,615,0.00016068360786664537,0,1,0.0,0.0,0.0,0.0,1,0.5,0.0,2,0,0.2,0.0,0.2,0.0
עזריה,353,9.19024195060841e-05,0,1,0.0,0.0,0.0,0.0,1,0,0.0,3,0,0.0,0.0,0.0,0.0
יולי,408,9.929434785877153e-05,1,1,0.0,0.0,0.0,0.6,0.2,0.3,0.5,2,0,1.0,0.0,0.2,0.0
חי,2149,0.0005923369116458259,0,1,0.0,0.0,0.0,0.0,0.8,0.5,0.0,1,0,0.5,0.0,1.0,0.0
שאול,7100,0.002093610711753332,0,1,0.0,0.0,0.0,0.6,1,0,0.0,2,0,0.0,0.0,0.0,0.0
דרור,7905,0.0022401469370244855,0,1,0.0,1.0,0.0,0.0,0.8,1,0.3,1,0,0.5,0.0,0.8,0.2
דיויד,598,0.0001457263622103909,0,1,0.0,0.0,0.0,1.0,0.8,0,0.5,2,0,0.0,0.0,0.0,0.0
ירחמיאל,700,0.00017298172774823513,1,1,0.0,0.0,0.0,0.0,0.8,0.5,0.0,4,0,0.0,0.0,0.0,0.0
אליוט,395,0.00010333882890895449,1,1,0.0,0.0,0.0,1.0,0.2,0,0.5,3,0,0.0,0.0,0.0,0.0
חגי,5166,0.0014234392490344644,0,1,0.0,0.0,0.0,0.0,1,0,0.0,2,0,0.5,0.0,1.0,0.5
יונתן,30260,0.007257196863704341,0,1,0.0,0.0,1.0,0.8,1,0.2,0.0,3,0,0.0,0.0,0.0,0.0
לב,3103,0.0008878933357093873,1,1,0.0,0.0,0.0,0.0,0.4,0,0.2,1,0,0.0,0.0,0.0,0.0
גדליה,731,0.00018678386767899944,0,1,0.0,0.0,0.0,0.0,1,0.3,0.0,3,0,0.6,0.0,0.8,0.0
לאונרדו,314,8.367615765233094e-05,0,1,0.0,0.0,0.0,1.0,0,0.2,1.0,4,0.5,0.0,0.0,0.0,0.0
בן-ציון,379,9.789942462053396e-05,0,1,0.0,0.0,0.0,0.0,0.8,0.2,0.0,3,0,0.0,0.0,0.0,0.0
משולם,596,0.000140146699328407,1,1,0.0,0.0,0.0,0.0,0.7,0,0.0,3,0,0.0,0.0,0.0,0.0
בן,21214,0.005240256256324382,0,1,0.0,0.0,1.0,0.0,0.2,0,0.0,1,0,0.0,0.0,0.0,0.0
אלתר,481,0.00011251914156405334,0,1,0.0,0.0,0.0,0.0,0.4,0,0.5,2,0,0.0,0.0,0.0,0.0
רם,2643,0.0007658415566870083,0,1,1.0,0.0,0.0,0.0,0.4,0.2,0.0,1,0,0.0,0.0,0.0,0.0
אלימלך,2661,0.0006241921844370167,1,1,0.0,0.0,0.0,0.0,0.8,0.2,0.0,4,0,0.0,0.0,0.0,0.0
צמח,371,0.00010044643687154273,1,1,0.0,0.0,0.0,0.0,0.7,1,0.0,1,0,0.7,0.0,1.0,0.2
זכריה,1224,0.00034836750403757105,0,1,0.0,0.0,0.0,0.5,1,0,0.0,3,0,0.0,0.0,0.2,0.0
אלעזר,7202,0.0016912834413367623,0,1,0.0,0.0,1.0,0.5,1,0,0.0,3,0,0.0,0.0,0.0,0.0
מכאל,306,8.894031116239572e-05,1,1,0.0,0.0,0.0,0.6,0.8,0,0.0,2,0,0.0,0.0,0.0,0.0
ג'ון,387,0.00011021066260398288,1,1,0.0,0.0,0.0,1.0,0,0,0.5,1,0,0.0,0.0,0.0,0.0
שמשון,2864,0.0008396818281072993,1,1,0.0,0.0,0.0,0.2,1,0.5,0.2,2,1,0.5,0.0,0.0,0.0
גדליהו,449,0.000115042650458744,0,1,0.0,0.0,0.0,0.0,1,0.2,0.0,4,0,0.5,0.0,0.6,0.0
ירוחם,448,0.00011797334489336882,0,1,0.0,0.0,0.0,0.0,0.7,0.3,0.0,3,0,0.0,0.0,0.2,0.0
אסא,415,0.00010203502609092014,1,1,0.0,0.0,0.0,0.4,1,0.2,0.0,2,0,0.0,0.0,0.2,0.0
רובין,363,0.00010176196097888084,0,1,1.0,1.0,0.0,0.8,0.4,0.8,0.2,2,0,0.2,0.0,0.2,0.0
ישי,12261,0.002821606887453934,1,1,0.0,0.0,1.0,0.0,1,0,0.0,2,0,0.0,0.0,0.0,0.0
הלל,7449,0.0016508720183045654,0,1,0.0,1.0,1.0,0.5,0.8,0.5,0.6,2,1,0.2,0.0,0.6,0.0
צוריאל,885,0.0002317020566361598,0,1,0.0,0.0,0.0,0.0,0.8,0.5,0.0,3,0,0.0,0.0,0.0,0.0
יובל,22877,0.005833756585604202,0,1,0.0,1.0,1.0,0.3,0.8,0.8,0.5,2,0,0.2,0.0,0.5,0.2
גלעד,9935,0.002584299693587852,0,1,0.0,0.0,1.0,0.0,0.8,0.2,0.0,2,0,0.0,0.0,0.0,0.0
שמריהו,556,0.00013085558865580274,1,1,0.0,0.0,0.0,0.0,0.8,0,0.0,4,0,0.0,0.0,0.0,0.0
אבשלום,1812,0.000533133381253412,0,1,0.0,0.0,0.0,0.0,1,0.2,0.0,3,0,0.0,0.0,0.0,0.0
אנטוני,525,0.0001475222966919837,1,1,0.0,0.0,0.0,1.0,0,0,0.5,3,0,0.0,0.0,0.0,0.0
לי,865,0.00021527862432875212,1,1,0.0,0.0,0.0,0.5,0.4,0,0.2,1,0,0.0,0.0,0.0,0.0
עזרא,4768,0.0014182745874838703,1,1,0.0,0.0,0.0,0.4,1,0,0.0,2,0,0.0,0.0,0.0,0.0
מרטין,1020,0.0002961609325534155,0,1,0.0,0.0,0.0,1.0,0,0,0.5,2,0,0.0,0.0,0.0,0.0
אבידן,502,0.00012757285402625356,0,1,0.0,0.0,0.0,0.0,0.4,0.2,0.6,3,0,0.0,0.0,0.2,0.0
אלחנן,7382,0.0017104080210846775,1,1,0.0,0.0,1.0,0.0,1,0,0.0,3,0.5,0.0,0.0,0.0,0.0
ניצן,3294,0.0008726502006876257,1,1,0.0,0.0,0.0,0.0,0.4,1,0.5,2,0.5,0.8,0.2,1.0,0.2
ארן,412,0.000113665949390887,0,1,0.0,0.0,0.0,0.0,0.4,0.5,0.0,1,0,0.0,0.0,0.2,0.0
איב,467,0.00012334411050879784,1,1,0.0,0.0,0.0,0.0,0.4,0.2,0.0,1,0,0.0,0.0,0.0,0.0
פסח,706,0.00018874509245035603,1,1,0.0,0.0,0.0,0.0,1,0.2,0.0,1,0,0.0,0.2,1.0,0.0
זבולון,407,0.00011414309877115692,1,1,0.0,0.0,0.0,0.0,1,0.2,0.0,3,0,0.0,0.0,0.0,0.0
ינון,6924,0.0016308980675405554,0,1,0.0,0.0,1.0,0.0,0.8,0.5,0.0,2,0,0.0,0.0,0.5,0.0
מקסים,4523,0.0012248793327398046,0,1,0.0,0.0,0.0,0.4,0,0,0.5,2,0,0.0,0.0,0.0,0.0
גד,3785,0.001138183025568061,0,1,0.0,0.0,0.0,0.0,1,0.5,0.0,1,0,0.0,0.0,0.0,0.0
אבא,283,7.356277459326319e-05,1,1,0.0,0.0,0.0,-1.0,0.2,0,0.0,2,0,0.0,0.0,0.0,0.0
איוון,716,0.00018786134378692153,0,1,1.0,0.0,0.0,1.0,0,0,0.3,2,0,0.0,0.0,0.0,0.0
אליאס,883,0.00025578328771543995,1,1,0.0,0.0,0.0,1.0,0.4,0,0.0,3,0,0.0,0.0,0.0,0.0
סטיב,479,0.00012577499543842515,0,1,0.0,0.0,0.0,1.0,0,0,0.2,1,0,0.0,0.0,0.0,0.0
רן,9734,0.0027164107434508983,0,1,0.0,0.0,0.0,0.0,0.4,0.3,0.8,1,0,0.5,0.0,0.7,0.0
אלון,26269,0.006643824967424396,0,1,0.0,0.0,1.0,0.5,0.7,1,0.0,2,0,0.2,0.0,0.6,0.6
מתי,545,0.00014501377430521756,1,1,0.0,0.0,0.0,0.0,0.8,0,0.0,2,0,0.0,0.0,0.0,0.0
זלמן,855,0.0002349249534942559,1,1,0.0,0.0,0.0,0.3,0.4,0,0.0,2,0,0.0,0.0,0.0,0.0
אלכס,2043,0.0005876433471072987,0,1,0.0,0.0,0.0,1.0,0,0,0.0,2,0,0.0,0.0,0.0,0.0
ירמיהו,665,0.0001890406893116359,0,1,0.0,0.0,0.0,0.0,1,0.2,0.6,4,0,0.0,0.0,0.0,0.0
מעוז,1025,0.0002509711165675463,0,1,0.0,0.0,0.0,0.0,0.4,0.3,0.0,2,0,0.0,0.0,0.0,0.0
עובד,497,0.00014360097520205124,0,1,0.0,0.0,0.0,0.0,0.7,0,0.0,2,0,0.0,0.0,0.0,0.0
מנדל,675,0.00017526809773524816,1,1,0.0,0.0,0.0,0.3,0.4,0,0.0,2,0,0.0,0.0,0.0,0.0
אמיר,14668,0.004086297507165778,0,1,0.0,0.0,0.0,0.6,0.4,0.2,0.0,2,0,0.0,0.0,0.0,0.0
עמוס,5171,0.0015597571562343873,0,1,0.0,0.0,0.0,0.2,1,0.2,0.2,2,0,0.0,0.0,0.0,0.0
גיל,12289,0.0034920757884010704,0,1,0.0,1.0,0.0,0.3,0.4,0.3,0.2,1,0,0.2,0.0,0.2,0.0
מנשה,3934,0.0011937918698685466,1,1,0.0,0.0,0.0,0.0,1,0,0.0,3,0,0.0,0.0,0.0,0.0
אריק,4417,0.0012746786650609631,0,1,0.0,0.0,0.0,0.8,0,0,0.0,2,0,0.0,0.0,0.0,0.0
ניל,1121,0.00026431444022830957,1,1,0.0,0.0,0.0,0.6,0,0.8,0.0,1,0,0.2,0.0,0.2,0.0
נחמן,6886,0.0015664702615092376,0,1,0.0,0.0,1.0,0.2,0.7,0.2,0.2,2,0,0.0,0.0,0.2,0.0
אדריאן,706,0.0002011093858826456,1,1,0.0,0.0,0.0,1.0,0,0.2,0.5,3,0,0.0,0.0,0.0,0.0
אביחי,4827,0.0012458650031311044,0,1,0.0,0.0,0.0,0.0,0.8,0,0.0,3,0,0.0,0.0,0.0,0.0
מתניה,1362,0.0003167877216690138,0,1,0.0,0.0,0.0,0.0,0.8,0,0.0,3,0,0.0,0.0,0.2,0.0
אלקנה,1313,0.00029955166113248443,1,1,0.0,0.0,0.0,0.0,1,0.5,0.0,3,0,0.0,0.0,0.0,0.0
נמרוד,3451,0.000938575005543315,0,1,0.0,0.0,0.0,0.0,0.8,0.2,0.0,2,0,0.0,0.0,0.0,0.0
אלדר,1518,0.0003795965192658575,0,1,0.0,0.0,0.0,0.0,0.4,1,0.0,2,0,0.2,0.0,0.2,0.0
מיקי,709,0.00019961389480727666,1,1,0.0,1.0,0.0,0.8,0.2,0,0.3,2,0,0.0,0.0,0.0,0.0
דורון,10367,0.0030730023533030483,0,1,0.0,1.0,0.0,0.0,0.4,0.2,0.0,2,0,0.2,0.0,0.0,0.0
עוזיאל,834,0.00024061964180522902,1,1,0.0,0.0,0.0,0.0,0.8,0,0.0,3,0,0.0,0.0,0.0,0.0
גור,1360,0.0003084172418128399,0,1,0.0,0.0,0.0,0.0,0.5,1,0.0,1,0,0.0,0.0,0.2,0.0
סעדיה,475,0.00014002414853919853,0,1,0.0,0.0,0.0,0.0,0.8,0,0.0,3,0,0.0,0.0,0.0,0.0
דורי,956,0.00022255525525777665,1,1,0.0,0.0,0.0,0.0,0.4,0.3,0.2,2,0,0.0,0.0,0.2,0.0
רוני,7190,0.002164236784987047,0,1,0.0,0.0,0.0,0.6,0.4,0.2,0.6,2,0.2,0.5,0.0,0.5,0.0
קלמן,554,0.00015340528593529428,1,1,0.0,0.0,0.0,0.2,0.4,0,0.0,2,0,0.0,0.0,0.0,0.0
אילון,3134,0.0007509002907909014,0,1,0.0,0.0,0.0,0.3,0.4,1,0.0,2,0,0.0,0.0,0.2,0.0
צורי,730,0.00018048071451911657,1,1,0.0,0.0,0.0,0.0,0.4,0.6,0.5,2,0,0.0,0.0,0.0,0.0
אריאל,35755,0.008172588835082541,1,1,0.0,0.0,1.0,0.8,1,0.6,0.5,3,0.5,0.2,0.0,0.2,0.0
חננאל,1373,0.000341262042946058,0,1,0.0,0.0,0.0,0.0,0.8,0,0.0,3,0,0.0,0.0,0.0,0.0
אלן,2250,0.0006807105986370623,0,1,0.0,0.0,0.0,1.0,0,0.2,0.2,2,0,0.0,0.0,0.0,0.0
ידידיה,5110,0.0011444703221918442,1,1,0.0,0.0,1.0,0.0,1,0,0.0,4,0,0.0,0.0,0.0,0.0
אהוד,5557,0.0016361445402668128,0,1,0.0,0.0,0.0,0.0,1,0,0.0,2,0,0.0,0.0,0.0,0.0
בניהו,1306,0.00030049227074184785,1,1,0.0,0.0,0.0,0.0,1,0.2,0.0,3,0,0.0,0.0,0.0,0.0
ישעיה,1538,0.0003604994673751514,1,1,0.0,0.0,0.0,0.3,1,0,0.5,4,0.2,0.0,0.0,0.0,0.0
אבנר,5333,0.0016451894074257704,0,1,0.0,0.0,0.0,0.2,1,0.2,0.0,2,0,0.0,0.0,0.0,0.0
כרמי,755,0.00016018088037526667,1,1,0.0,1.0,0.0,0.0,0.4,1,0.2,2,0,0.8,0.0,1.0,0.6
ניסים,12104,0.0036858792399489856,0,1,0.0,0.0,0.0,0.0,0.5,0,0.0,2,0,0.0,0.0,0.0,0.0
